10.445653200149536s to calculate
0.03365015983581543s to dump
         1087997 function calls (1072484 primitive calls) in 11.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    294/1    0.003    0.000   11.320   11.320 {built-in method builtins.exec}
        1    0.000    0.000   11.320   11.320 mandelbrot0.py:1(<module>)
        1   10.445   10.445   10.446   10.446 mandelbrot0.py:7(simple_mandelbrot)
       34    0.002    0.000    1.024    0.030 __init__.py:1(<module>)
    339/4    0.002    0.000    0.843    0.211 <frozen importlib._bootstrap>:1349(_find_and_load)
    336/4    0.002    0.000    0.842    0.211 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    322/4    0.001    0.000    0.842    0.210 <frozen importlib._bootstrap>:911(_load_unlocked)
    279/4    0.001    0.000    0.841    0.210 <frozen importlib._bootstrap_external>:989(exec_module)
    794/7    0.001    0.000    0.840    0.120 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   418/15    0.000    0.000    0.774    0.052 {built-in method builtins.__import__}
   422/48    0.001    0.000    0.771    0.016 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.558    0.558 pyplot.py:1(<module>)
 1087/991    0.019    0.000    0.462    0.000 {built-in method builtins.__build_class__}
      103    0.003    0.000    0.351    0.003 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.345    0.003 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.277    0.277 figure.py:1(<module>)
      114    0.000    0.000    0.275    0.002 artist.py:1839(kwdoc)
        1    0.000    0.000    0.224    0.224 colorbar.py:1(<module>)
      114    0.006    0.000    0.223    0.002 artist.py:1600(pprint_setters)
     4144    0.014    0.000    0.181    0.000 artist.py:1469(get_valid_values)
     7178    0.077    0.000    0.142    0.000 inspect.py:876(cleandoc)
        1    0.000    0.000    0.133    0.133 contour.py:1(<module>)
        1    0.000    0.000    0.125    0.125 backend_bases.py:1(<module>)
     7113    0.007    0.000    0.122    0.000 inspect.py:857(getdoc)
        1    0.000    0.000    0.111    0.111 text.py:1(<module>)
      218    0.001    0.000    0.102    0.000 artist.py:1421(__init__)
      218    0.041    0.000    0.101    0.000 artist.py:1441(get_aliases)
        1    0.000    0.000    0.091    0.091 _axes.py:1(<module>)
        1    0.000    0.000    0.091    0.091 rcsetup.py:1(<module>)
        1    0.000    0.000    0.081    0.081 collections.py:1(<module>)
      279    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        9    0.000    0.000    0.066    0.007 _base.py:732(__init_subclass__)
        1    0.000    0.000    0.063    0.063 patches.py:1(<module>)
        1    0.000    0.000    0.063    0.063 _base.py:1(<module>)
        1    0.000    0.000    0.061    0.061 axes3d.py:1(<module>)
      218    0.018    0.000    0.058    0.000 artist.py:1519(get_setters)
     6669    0.007    0.000    0.058    0.000 __init__.py:280(_compile)
      279    0.005    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     5564    0.004    0.000    0.051    0.000 __init__.py:174(search)
      279    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.047    0.047 _fontconfig_pattern.py:1(<module>)
      209    0.001    0.000    0.046    0.000 _compiler.py:740(compile)
        3    0.001    0.000    0.045    0.015 core.py:1(<module>)
        1    0.000    0.000    0.043    0.043 __config__.py:1(<module>)
       30    0.005    0.000    0.042    0.001 __init__.py:851(_rc_params_in_file)
        1    0.000    0.000    0.039    0.039 colors.py:1(<module>)
      136    0.001    0.000    0.036    0.000 _docstring.py:66(__call__)
  126/115    0.000    0.000    0.036    0.000 _docstring.py:107(__call__)
  322/317    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      717    0.001    0.000    0.035    0.000 inspect.py:3333(signature)
      717    0.001    0.000    0.034    0.000 inspect.py:3071(from_callable)
  851/717    0.005    0.000    0.034    0.000 inspect.py:2491(_signature_from_callable)
        1    0.000    0.000    0.031    0.031 art3d.py:1(<module>)
      334    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.030    0.030 pyplot.py:3541(imshow)
      979    0.001    0.000    0.029    0.000 __init__.py:715(__setitem__)
        1    0.020    0.020    0.029    0.029 _distributor_init.py:1(<module>)
       11    0.000    0.000    0.029    0.003 _docstring.py:79(__missing__)
      209    0.001    0.000    0.028    0.000 _parser.py:969(parse)
    38/37    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    38/37    0.022    0.001    0.027    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.026    0.013 pyplot.py:2740(gca)
        2    0.000    0.000    0.026    0.013 figure.py:1646(gca)
        1    0.000    0.000    0.026    0.026 figure.py:586(add_subplot)
  434/209    0.001    0.000    0.026    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.026    0.026 _base.py:564(__init__)
  484/233    0.010    0.000    0.025    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.024    0.024 geo.py:1(<module>)
      331    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.024    0.024 _index_tricks_impl.py:1(<module>)
      331    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.024    0.024 _axes.py:65(Axes)
     9618    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
      703    0.008    0.000    0.023    0.000 inspect.py:2387(_signature_from_function)
        1    0.000    0.000    0.023    0.023 _base.py:1384(clear)
        1    0.000    0.000    0.022    0.022 _base.py:1257(__clear)
      438    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.021    0.021 axis.py:1(<module>)
        2    0.000    0.000    0.021    0.011 core.py:206(read_style_directory)
        1    0.000    0.000    0.021    0.021 offsetbox.py:1(<module>)
      575    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.020    0.020 defmatrix.py:1(<module>)
    93703    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
165485/164394    0.019    0.000    0.019    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.019    0.019 _linalg.py:1(<module>)
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
    69213    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
     6094    0.010    0.000    0.018    0.000 inspect.py:2733(__init__)
       50    0.000    0.000    0.018    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.018    0.018 polar.py:1(<module>)
        1    0.000    0.000    0.018    0.018 lines.py:1(<module>)
      447    0.001    0.000    0.017    0.000 artist.py:1538(number_of_parameters)
    86107    0.017    0.000    0.017    0.000 {method 'lstrip' of 'str' objects}
  408/336    0.001    0.000    0.017    0.000 typing.py:392(inner)
      209    0.000    0.000    0.016    0.000 _compiler.py:573(_code)
    69679    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
       94    0.001    0.000    0.016    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.015    0.015 font_manager.py:1(<module>)
      970    0.001    0.000    0.015    0.000 artist.py:1544(is_alias)
        1    0.000    0.000    0.015    0.015 image.py:1(<module>)
      279    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    61268    0.014    0.000    0.014    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.014    0.014 multiarray.py:1(<module>)
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
      409    0.001    0.000    0.013    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
     4144    0.006    0.000    0.013    0.000 artist.py:1557(aliased_name)
      459    0.000    0.000    0.013    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.012    0.012 axis3d.py:1(<module>)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
